                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.85282,                0.77702,                 1.2536,                0.61756,                0.51786,                0.53659,                0.27669,                 1.5312,                 1.4688,                 1.8549,               0.000713,               0.000713,               0.000713
                     67,                0.85299,                0.77261,                 1.2559,                0.70938,                0.52232,                0.54377,                0.28208,                 1.5433,                 1.4201,                 1.8907,              0.0006932,              0.0006932,              0.0006932
                     68,                0.83413,                 0.7477,                 1.2445,                0.68805,                0.54157,                0.54113,                0.28947,                 1.5456,                  1.421,                 1.8806,              0.0006734,              0.0006734,              0.0006734
                     69,                0.82215,                0.73658,                 1.2263,                0.72482,                0.52232,                0.54637,                0.29266,                 1.5173,                 1.3964,                 1.8484,              0.0006536,              0.0006536,              0.0006536
                     70,                0.84052,                0.75817,                 1.2404,                0.67127,                0.52455,                 0.5462,                  0.287,                 1.5525,                  1.448,                 1.8596,              0.0006338,              0.0006338,              0.0006338
                     71,                0.82761,                0.75363,                 1.2309,                0.71192,                0.52232,                0.54909,                0.29228,                 1.5764,                 1.4815,                 1.8927,               0.000614,               0.000614,               0.000614
                     72,                0.82832,                0.74565,                 1.2386,                0.66125,                0.50223,                0.53145,                0.28102,                 1.5347,                 1.4718,                 1.8474,              0.0005942,              0.0005942,              0.0005942
                     73,                0.82056,                0.74181,                 1.2321,                0.69542,                0.55041,                0.57379,                0.29528,                 1.5411,                 1.3931,                 1.8734,              0.0005744,              0.0005744,              0.0005744
                     74,                0.82191,                0.73119,                 1.2304,                0.67881,                0.53348,                0.55892,                0.29185,                 1.5627,                 1.4077,                 1.8957,              0.0005546,              0.0005546,              0.0005546
                     75,                0.81032,                0.73177,                 1.2226,                0.63079,                0.52679,                0.52735,                0.27557,                 1.5599,                 1.4594,                 1.9036,              0.0005348,              0.0005348,              0.0005348
                     76,                0.82817,                 0.7527,                  1.233,                0.66245,                0.56696,                0.55982,                0.29106,                 1.5735,                 1.4259,                 1.9247,               0.000515,               0.000515,               0.000515
                     77,                0.80389,                0.72547,                 1.2196,                0.64681,                0.54241,                0.56881,                 0.2911,                 1.5599,                 1.3615,                 1.8938,              0.0004952,              0.0004952,              0.0004952
                     78,                0.79394,                0.72818,                 1.2147,                 0.6218,                0.51339,                0.50932,                0.26872,                 1.5712,                 1.4859,                 1.9159,              0.0004754,              0.0004754,              0.0004754
                     79,                0.79763,                0.71816,                 1.2199,                0.67754,                0.52902,                0.55811,                0.28083,                 1.5738,                 1.4382,                   1.93,              0.0004556,              0.0004556,              0.0004556
